onet_soc,title,R1,R2,R3,employment,union
11-1011.00,Chief Executives,-0.346017,2.09147,1.1302,211850,0.0263697
11-1011.03,Chief Sustainability Officers,-0.863587,1.30449,0.393329,211850,0.0263697
11-1021.00,General and Operations Managers,-0.298169,1.03247,0.637075,3584420,0.0383926
11-2011.00,Advertising and Promotions Managers,-1.2049,0.481662,0.0659397,21100,0.00296167
11-2021.00,Marketing Managers,-1.08643,0.931255,0.139204,384980,0.024069
11-2022.00,Sales Managers,-1.03623,1.03263,0.790973,603710,0.0195352
11-2033.00,Fundraising Managers,-1.38133,0.335514,0.416584,36920,0.069524
11-3012.00,Administrative Services Managers,-0.238614,0.619879,0.685275,254140,0.0332903
11-3013.00,Facilities Managers,0.758991,1.11783,0.785403,141090,0.0302125
11-3013.01,Security Managers,0.663588,1.67451,1.33701,141090,0.0302125
11-3021.00,Computer and Information Systems Managers,-0.548235,1.34155,-0.558375,645970,0.025027
11-3031.00,Financial Managers,-1.13328,0.749539,0.156156,818620,0.0235117
11-3031.01,Treasurers and Controllers,-1.21468,1.17304,-0.513881,818620,0.0235117
11-3031.03,Investment Fund Managers,-1.34803,0.892585,-0.893735,818620,0.0235117
11-3051.00,Industrial Production Managers,0.657474,1.32838,0.151427,234380,0.0350254
11-3051.01,Quality Control Systems Managers,0.18457,1.71409,-0.20161,234380,0.0350254
11-3051.02,Geothermal Production Managers,0.969027,1.88429,0.0412791,234380,0.0350254
11-3051.03,Biofuels Production Managers,0.894937,1.39262,-0.00608423,234380,0.0350254
11-3051.04,Biomass Power Plant Managers,1.05099,1.62687,-0.0523721,234380,0.0350254
11-3051.06,Hydroelectric Production Managers,1.04664,1.86659,-0.0943868,234380,0.0350254
11-3061.00,Purchasing Managers,-0.800922,1.188,0.238854,81240,0.0659207
11-3071.00,"Transportation, Storage, and Distribution Managers",0.0045273,1.03909,0.560449,213000,0.0414529
11-3071.04,Supply Chain Managers,-0.535032,1.30016,0.199863,213000,0.0414529
11-3111.00,Compensation and Benefits Managers,-1.53229,0.439613,-0.0791698,20070,0.171152
11-3121.00,Human Resources Managers,-0.877822,1.30522,1.33528,215520,0.0536533
11-3131.00,Training and Development Managers,-1.12279,1.06542,0.30265,44960,0.0306517
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.06725,0.956109,0.257358,5910,0.000943382
11-9021.00,Construction Managers,1.13311,1.97227,0.514099,348330,0.0599372
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",-0.362343,0.779011,1.73968,71620,0.19632
11-9032.00,"Education Administrators, Kindergarten through Secondary",-0.40767,1.76602,1.82336,319630,0.19632
11-9033.00,"Education Administrators, Postsecondary",-1.05032,1.15218,0.736467,176420,0.19632
11-9041.00,Architectural and Engineering Managers,-0.279749,1.71679,-0.550847,210340,0.0404146
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.213525,1.32902,-0.976443,210340,0.0404146
11-9051.00,Food Service Managers,0.175904,0.255384,1.32907,244230,0.0195157
11-9071.00,Gambling Managers,-0.230091,0.669313,1.16905,4620,0.109762
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",-0.259788,0.627359,1.37123,36700,0.109762
11-9081.00,Lodging Managers,-0.127254,1.03746,1.62096,41350,0.0526058
11-9111.00,Medical and Health Services Managers,-0.626867,1.48584,0.971724,565840,0.0619361
11-9121.00,Natural Sciences Managers,-0.284806,1.50688,-0.319267,100870,0.0621055
11-9121.01,Clinical Research Coordinators,-0.840406,0.490217,0.149871,100870,0.0621055
11-9121.02,Water Resource Specialists,-0.544185,1.2735,-0.986957,100870,0.0621055
11-9131.00,Postmasters and Mail Superintendents,-0.0685954,0.928543,1.28497,13810,0.0542599
11-9141.00,"Property, Real Estate, and Community Association Managers",-0.846878,0.410082,0.594235,296640,0.021958
11-9151.00,Social and Community Service Managers,-0.741124,0.901243,1.33913,195490,0.0613853
11-9161.00,Emergency Management Directors,-0.0111317,1.51057,1.14695,12570,0.349288
11-9171.00,Funeral Home Managers,0.262476,0.650891,1.87307,13120,0.0542599
11-9179.01,Fitness and Wellness Coordinators,-0.298137,0.236463,1.42052,10490,0.0542599
11-9179.02,Spa Managers,-0.338689,0.611192,1.40556,10490,0.0542599
11-9199.01,Regulatory Affairs Managers,-1.18947,0.868557,-0.343072,630980,0.0542599
11-9199.02,Compliance Managers,-0.563354,0.887054,0.824527,630980,0.0542599
11-9199.08,Loss Prevention Managers,-0.0478298,1.04479,1.12882,630980,0.0542599
11-9199.09,Wind Energy Operations Managers,1.33195,1.77971,0.460517,630980,0.0542599
11-9199.10,Wind Energy Development Managers,-0.576112,1.08268,-0.37642,630980,0.0542599
